dest_ip,protocol,port,size,priority
142.44.225.203,6,6808,515,5
15.235.96.73,6,80,1021,8
111.23.117.116,17,11878,1147,5
134.209.75.162,6,80,855,8
2.55.126.88,17,7676,234,5
148.113.130.125,17,53,290,9
128.185.220.122,6,61514,1023,5
194.50.16.157,17,63485,1288,5
181.41.242.122,6,80,260,8
15.235.98.155,17,53,877,9
202.8.42.133,17,29355,970,5
142.44.228.51,6,12206,414,5
168.100.149.17,6,443,676,8
106.12.157.104,6,443,756,8
143.110.154.233,6,443,111,8
103.186.1.59,17,1805,803,5
167.114.139.187,6,80,1132,8
184.186.104.101,17,4998,1425,5
15.235.96.89,17,53,724,9
109.230.104.227,17,53,595,9
142.44.225.25,17,53,660,9
208.75.123.179,17,30291,191,5
167.114.139.151,6,34067,577,5
142.44.225.69,17,53,1071,9
198.244.226.195,6,37667,1405,5
183.171.236.87,6,43649,984,5
194.106.254.19,17,53,666,9
122.186.183.203,6,80,1108,8
15.235.96.208,6,80,79,8
122.160.142.194,6,443,398,8
148.113.130.181,17,53,1377,9
203.2.115.107,17,53,345,9
20.163.74.182,6,443,305,8
15.235.96.142,6,80,803,8
213.176.16.229,6,80,386,8
186.96.199.132,6,17776,120,5
212.83.169.210,17,56718,849,5
183.6.91.151,6,80,1329,8
178.178.194.128,6,443,430,8
142.44.228.42,17,53,708,9
121.73.168.9,6,80,1024,8
198.244.240.18,17,32128,223,5
198.244.183.64,6,443,1432,8
113.46.179.245,17,53,784,9
103.86.198.162,17,60816,1108,5
117.216.33.31,17,42361,1410,5
124.222.145.188,6,80,585,8
125.39.179.192,6,443,1416,8
185.93.89.128,6,80,673,8
218.201.226.253,6,36571,1410,5
107.189.22.197,6,443,318,8
182.76.228.234,6,63206,625,5
182.204.179.55,17,33782,1487,5
218.17.239.204,17,53,916,9
196.216.81.126,6,443,756,8
199.195.254.215,6,80,881,8
148.72.244.104,6,80,143,8
202.103.55.158,6,30505,928,5
102.129.59.31,17,53,1053,9
118.122.147.49,17,3653,328,5
2.74.192.250,6,443,1200,8
15.235.96.69,6,80,780,8
173.212.238.152,6,80,1097,8
117.33.242.180,6,443,1409,8
157.66.144.16,6,80,452,8
188.166.211.175,6,80,787,8
125.212.129.46,6,443,1137,8
193.104.222.20,17,24666,1092,5
101.126.135.131,17,53,1003,9
15.235.96.166,6,443,453,8
198.244.226.223,6,443,759,8
139.59.175.91,17,42116,96,5
198.244.240.142,6,17731,125,5
116.98.243.8,6,443,885,8
159.89.108.92,17,53,1305,9
220.154.133.166,17,19779,1157,5
140.249.49.185,17,53,1451,9
220.195.5.32,17,53,1205,9
180.76.143.203,6,80,868,8
128.1.47.28,17,53,555,9
20.19.170.116,6,443,1196,8
199.45.154.154,17,27583,404,5
1.214.255.210,6,443,746,8
218.87.21.146,6,57180,702,5
168.100.149.163,6,42362,387,5
198.244.183.19,6,27960,932,5
103.117.57.134,6,80,185,8
117.4.169.89,6,80,336,8
178.185.197.166,6,443,1476,8
165.154.205.128,6,80,1475,8
148.113.128.177,17,53,915,9
106.13.68.234,6,443,1145,8
148.113.128.220,17,53,508,9
208.75.123.232,6,443,129,8
111.70.32.52,17,53,809,9
112.6.54.99,17,8704,1400,5
198.244.183.124,17,53,658,9
110.25.112.152,6,80,279,8
2.201.39.161,17,53,1243,9
120.224.15.67,17,53,1226,9
120.48.139.244,17,53,655,9
198.244.168.15,6,6335,1357,5
2001:ac8:36:5e::22,17,53,1344,9
129.122.56.101,17,53,1099,9
15.235.96.227,6,5912,394,5
198.244.242.85,6,80,899,8
186.12.190.1,17,43077,1314,5
142.44.225.45,6,44318,857,5
20.173.116.24,17,53,1285,9
142.44.220.12,17,53,967,9
165.245.168.136,6,80,1398,8
183.56.232.130,17,53,1385,9
180.76.105.108,6,443,68,8
189.203.163.10,6,443,308,8
198.244.242.110,17,53,1397,9
192.24.37.157,6,15457,633,5
119.153.100.234,17,12651,1471,5
148.113.130.220,6,80,1017,8
142.44.233.213,6,80,466,8
108.189.101.26,6,80,1094,8
172.71.144.96,6,80,892,8
103.132.223.85,17,16661,1043,5
216.137.185.158,17,21244,485,5
202.152.204.218,6,42684,209,5
143.20.97.71,17,1892,935,5
216.189.157.132,17,39712,861,5
142.44.228.69,6,25771,1282,5
101.36.112.235,17,53,977,9
111.223.3.176,17,58758,365,5
106.225.129.164,6,443,1069,8
142.93.73.245,6,443,82,8
110.166.66.102,17,53,609,9
103.183.62.0,17,53,1254,9
171.231.193.94,6,80,401,8
111.180.216.38,17,53,455,9
198.244.240.45,6,443,67,8
148.113.128.137,17,13295,1048,5
152.228.134.10,6,443,1335,8
198.244.183.112,17,64085,1111,5
142.44.228.124,6,443,295,8
20.169.104.239,6,80,864,8
121.131.220.150,6,80,1327,8
210.172.173.61,17,53,139,9
211.252.94.151,17,51018,843,5
198.244.168.1,17,18146,399,5
148.113.128.7,6,43447,202,5
198.244.168.105,17,53,616,9
185.177.72.141,6,80,92,8
14.116.150.36,17,53,1064,9
115.120.88.46,6,80,1156,8
115.190.241.219,17,53,788,9
187.121.163.170,17,53,723,9
177.222.128.194,17,53,726,9
186.13.127.172,17,15005,1067,5
185.208.158.110,6,443,122,8
196.189.124.229,17,53,1042,9
104.7.164.179,17,40399,1377,5
115.191.14.114,6,443,953,8
106.75.133.87,6,443,1345,8
185.127.52.123,6,80,1265,8
172.94.9.202,6,443,1441,8
117.211.14.116,6,80,638,8
148.113.130.241,6,443,548,8
14.177.234.24,17,29443,116,5
14.103.90.30,6,443,1193,8
2.57.122.96,17,64189,848,5
191.53.128.159,17,57030,1328,5
122.166.250.76,17,53,693,9
222.116.19.117,17,26766,99,5
14.103.116.0,17,53,231,9
152.231.22.234,6,80,245,8
194.62.55.28,17,53,402,9
148.113.130.52,6,443,1406,8
111.61.176.244,17,35521,111,5
190.67.106.221,6,23649,1256,5
2003:d6:571d:3f00:d05b:b290:861c:5f42,17,53,778,9
115.190.81.215,6,80,828,8
104.152.52.217,6,80,630,8
20.203.168.203,6,443,992,8
102.64.33.157,17,53,979,9
114.242.24.31,17,61745,806,5
147.30.16.109,17,53,521,9
129.80.69.138,17,17539,1211,5
185.17.125.39,17,50170,380,5
198.244.183.118,17,53,413,9
198.244.168.31,17,49813,1192,5
142.44.228.104,17,53,1277,9
184.168.21.211,6,80,1071,8
106.203.195.242,17,56867,387,5
128.199.103.139,17,42608,422,5
181.218.9.86,17,50882,940,5
1.82.135.154,17,14722,1342,5
182.95.185.166,17,53,1453,9
15.235.96.23,6,80,522,8
193.233.48.169,17,53,960,9
154.16.49.102,6,80,601,8
186.10.86.130,6,80,232,8
202.8.40.22,6,80,913,8
198.244.183.142,17,53,719,9
125.132.73.57,6,36633,761,5
14.103.80.24,6,14243,1447,5
159.203.86.229,17,53,571,9
142.44.228.228,17,53,646,9
106.201.232.211,17,53,331,9
212.30.33.169,17,2450,619,5
20.222.18.47,6,443,352,8
106.75.177.125,6,443,567,8
167.114.139.118,6,80,898,8
106.13.139.165,6,80,1290,8
104.152.52.147,17,13400,983,5
213.149.84.30,6,443,1396,8
198.244.168.176,17,40557,450,5
198.244.226.44,6,443,148,8
199.45.155.72,17,53,1319,9
125.20.210.182,6,443,851,8
106.12.86.145,6,14284,1451,5
198.244.240.146,6,80,829,8
111.70.49.180,17,53,1147,9
14.103.121.78,17,53,1400,9
110.25.109.58,17,53,434,9
110.25.105.240,6,443,471,8
147.182.144.5,6,80,1197,8
185.15.170.217,6,45860,200,5
118.69.65.39,6,443,914,8
209.87.169.91,17,48419,910,5
148.113.130.170,17,52346,1013,5
212.241.16.89,17,53,916,9
103.255.73.237,17,30917,837,5
112.164.253.71,17,53,675,9
185.255.212.78,17,4836,490,5
212.88.48.17,17,34071,290,5
207.219.221.101,17,46624,576,5
198.244.242.213,6,443,291,8
167.114.139.212,6,10180,845,5
15.235.27.64,6,443,824,8
142.44.220.237,6,80,164,8
167.114.139.133,6,80,574,8
148.113.128.157,6,443,232,8
15.235.96.244,6,443,207,8
183.171.4.144,17,35104,708,5
120.62.25.213,17,2891,1015,5
160.22.20.18,6,80,576,8
193.37.32.206,6,443,929,8
167.114.139.206,6,443,640,8
111.26.6.111,6,80,316,8
101.52.130.122,17,53,1102,9
193.42.96.94,17,53,283,9
205.164.241.37,17,37887,565,5
115.68.232.213,17,30722,1491,5
111.26.95.122,17,53,420,9
20.111.63.125,17,53,1224,9
142.44.225.82,17,61200,409,5
198.244.240.106,17,53,132,9
218.145.181.48,6,80,803,8
121.131.220.154,6,443,292,8
176.31.139.22,6,443,434,8
110.25.110.136,17,51258,1209,5
148.113.130.112,6,443,1271,8
18.144.4.160,17,24501,233,5
154.144.255.210,17,22900,1343,5
125.20.245.106,6,46924,1259,5
189.206.155.253,17,53,870,9
20.250.17.247,17,29372,578,5
161.35.170.78,17,53,1260,9
199.195.248.191,6,80,212,8
101.36.97.205,17,53,383,9
202.165.29.174,17,53,812,9
160.155.68.8,17,53,83,9
116.193.190.100,6,443,1026,8
121.179.119.204,17,23742,156,5
221.181.210.98,6,20767,833,5
118.145.235.60,17,50084,1325,5
117.139.118.199,6,443,357,8
220.180.170.126,17,49710,326,5
125.164.47.162,6,80,1479,8
15.235.98.22,17,31264,1054,5
152.52.196.18,6,33483,558,5
142.44.225.242,17,28769,151,5
174.138.8.145,6,80,264,8
142.44.220.213,6,443,89,8
15.235.96.185,17,9380,1467,5
198.244.240.0,6,443,613,8
198.244.183.189,17,53,427,9
148.227.90.171,17,53,1390,9
104.152.52.230,6,47661,1429,5
114.116.246.173,6,50849,1214,5
218.21.246.238,17,53,1092,9
150.66.102.50,17,63903,791,5
103.66.143.97,6,443,865,8
101.126.143.178,6,80,1022,8
172.161.64.10,6,443,811,8
120.53.0.98,17,6329,926,5
15.235.96.10,17,39183,681,5
128.127.94.167,6,443,925,8
190.185.229.88,6,443,898,8
201.217.67.183,6,80,822,8
186.64.95.220,17,53,910,9
203.193.147.37,6,5726,512,5
101.91.192.9,6,443,914,8
219.89.198.191,6,80,598,8
111.61.175.118,17,34497,368,5
123.187.241.160,17,53,891,9
200.107.84.239,6,443,230,8
103.212.214.201,6,443,943,8
179.63.240.38,17,59480,702,5
212.47.130.90,17,37294,686,5
201.55.140.138,17,55240,1103,5
122.53.133.167,17,6612,1234,5
187.120.105.43,17,4854,775,5
120.48.104.37,6,443,168,8
103.49.238.35,17,26496,1232,5
165.154.231.129,6,80,775,8
178.219.97.180,6,443,336,8
103.28.89.75,6,80,310,8
177.86.166.102,6,443,894,8
142.44.225.226,6,80,863,8
148.113.130.48,6,50382,1304,5
116.176.57.144,6,443,1092,8
177.190.200.88,17,53,1461,9
203.150.107.244,6,24801,1430,5
218.149.228.178,17,53,859,9
125.124.92.11,6,443,371,8
147.50.103.212,6,80,910,8
128.185.197.42,6,80,1027,8
138.99.184.6,6,443,786,8
185.218.138.11,17,53,865,9
103.153.110.190,17,53,1309,9
139.59.95.143,17,1146,674,5
171.25.158.74,6,47550,136,5
185.214.138.101,6,11466,1024,5
148.113.130.228,6,80,325,8
220.179.255.54,17,12434,974,5
125.23.204.74,17,25989,487,5
117.176.131.191,17,53,533,9
182.253.79.195,17,6323,301,5
103.245.17.220,6,80,561,8
197.234.202.196,6,443,943,8
142.44.233.14,17,28095,348,5
141.224.140.82,6,443,473,8
194.27.159.36,6,7176,1407,5
176.31.139.5,6,443,224,8
163.53.201.45,17,53,1298,9
142.44.233.77,6,14727,1369,5
142.44.233.159,17,53,869,9
103.147.159.91,6,443,1326,8
14.225.205.58,17,53,1102,9
183.252.52.227,6,443,388,8
170.239.96.124,17,22412,1254,5
152.250.243.47,17,53,458,9
110.36.29.183,6,33224,1315,5
152.32.133.174,6,44791,1423,5
177.10.201.11,17,3046,524,5
198.244.240.177,17,53,770,9
183.71.251.66,6,443,284,8
221.165.172.38,6,80,577,8
171.243.149.82,17,53,1475,9
103.171.31.37,17,22652,913,5
118.145.233.177,17,39169,1357,5
15.235.27.81,17,53,575,9
139.59.112.10,6,443,1090,8
212.30.33.206,17,30913,201,5
15.235.96.236,6,51674,879,5
103.236.140.19,17,53,1339,9
117.187.38.179,17,40583,211,5
188.154.73.171,17,53,1291,9
175.6.109.238,6,443,410,8
167.114.139.119,6,5862,735,5
188.59.178.20,6,80,1020,8
198.244.240.212,17,53,613,9
118.145.66.151,6,80,237,8
182.78.159.82,17,29890,911,5
211.253.31.30,17,53,405,9
14.103.86.183,6,53777,856,5
15.235.27.119,6,43983,735,5
103.67.78.217,17,37957,1428,5
188.40.177.94,6,63741,332,5
1.30.20.98,17,18295,1252,5
198.244.242.158,17,53,588,9
20.123.33.13,17,53,902,9
14.63.198.239,17,53,550,9
178.219.103.112,17,53,760,9
187.141.71.166,6,63716,133,5
110.82.42.202,6,443,1281,8
171.231.180.14,17,49836,972,5
167.114.139.128,6,80,490,8
12.150.243.22,17,50621,1274,5
160.250.254.35,6,443,95,8
198.244.240.130,6,443,647,8
165.154.6.150,6,80,1005,8
185.184.123.172,6,443,281,8
168.144.27.111,17,27878,134,5
185.121.0.25,17,62369,961,5
158.69.194.34,6,80,350,8
202.165.22.58,6,60214,521,5
120.48.0.142,6,443,1188,8
14.18.236.71,6,11374,87,5
185.47.14.233,17,53,1040,9
181.232.131.14,17,30048,399,5
138.0.189.231,6,80,972,8
209.74.85.159,6,80,576,8
161.118.194.153,6,25621,804,5
185.17.124.159,17,53,1006,9
200.75.7.83,6,443,1490,8
1.212.225.99,6,80,1414,8
162.240.163.162,17,53,651,9
154.50.110.116,6,443,1065,8
142.44.225.229,17,53,597,9
187.120.107.47,17,14211,1294,5
212.30.33.192,6,80,578,8
167.94.146.52,6,443,763,8
195.72.61.142,17,59630,1189,5
190.185.229.191,17,16823,1417,5
190.213.180.98,6,34937,1093,5
142.44.228.102,17,4833,393,5
198.244.240.209,17,53,257,9
198.244.168.108,6,53505,424,5
132.145.213.106,17,28521,325,5
112.30.127.9,17,53,1078,9
154.116.118.38,6,443,1218,8
198.244.240.71,17,21068,92,5
172.202.117.217,6,26327,314,5
114.246.241.87,17,31619,90,5
147.135.213.170,6,80,1251,8
165.227.162.123,6,61658,135,5
142.44.233.21,17,53,1101,9
141.11.5.21,17,53,967,9
122.224.240.99,6,443,1080,8
103.149.86.208,17,53,887,9
103.80.87.39,6,42719,130,5
148.113.130.127,17,53,283,9
198.244.168.146,17,25794,1083,5
111.26.63.83,6,443,357,8
193.32.162.146,6,80,91,8
185.229.98.68,17,53,1416,9
211.238.237.254,17,47536,422,5
14.33.95.62,17,7811,241,5
182.61.148.217,6,80,787,8
198.244.183.88,17,1967,1247,5
183.66.149.42,17,53,1246,9
148.113.130.100,17,53,435,9
122.228.86.100,17,41751,1343,5
101.13.4.120,6,15983,349,5
116.99.174.175,6,443,980,8
186.201.54.90,17,26529,945,5
142.44.228.3,6,26402,402,5
138.199.39.186,17,55912,209,5
198.244.242.118,6,55513,698,5
195.33.200.58,6,443,1219,8
104.152.52.201,17,36004,1008,5
202.8.42.34,17,53,1497,9
148.113.130.39,6,80,268,8
119.192.59.80,6,443,393,8
193.37.32.190,6,443,1465,8
121.159.71.249,17,12844,852,5
195.43.6.66,17,53,405,9
199.45.155.74,6,443,777,8
203.124.50.151,17,37129,731,5
167.114.139.243,6,80,279,8
190.45.128.179,6,34405,913,5
198.244.226.87,6,80,983,8
186.251.71.202,17,33352,210,5
200.71.84.38,6,52288,1425,5
191.101.157.202,6,58339,530,5
125.23.203.138,6,35801,973,5
198.244.168.135,17,18706,132,5
191.53.9.182,17,50333,444,5
15.235.27.240,6,443,90,8
148.113.130.20,6,443,838,8
151.192.57.118,17,53,1051,9
198.244.242.183,6,443,1381,8
198.244.168.98,6,80,1286,8
148.113.128.171,17,12490,838,5
15.235.98.63,17,53,1017,9
190.114.243.83,6,80,893,8
111.70.23.241,17,28169,1040,5
154.16.49.97,17,7233,1486,5
146.235.197.123,17,53,990,9
15.235.98.200,17,24318,972,5
172.213.8.171,17,20499,1452,5
167.114.139.80,6,22201,349,5
20.199.107.17,17,63161,1300,5
111.88.30.99,6,54525,1130,5
121.73.169.30,17,50955,274,5
124.105.173.17,6,80,950,8
144.126.200.204,17,52623,539,5
182.40.195.233,17,53,1005,9
124.198.131.33,17,53,925,9
142.44.228.109,17,43557,818,5
108.30.14.221,6,443,1153,8
185.241.208.180,6,36714,478,5
185.177.72.51,6,57350,1257,5
171.237.176.209,6,80,726,8
20.240.235.228,6,80,1057,8
196.0.41.134,17,29094,169,5
185.247.137.117,6,20632,768,5
107.170.210.86,17,53,557,9
142.44.220.99,6,38909,372,5
185.46.49.49,6,80,800,8
182.95.181.138,6,80,721,8
103.118.244.61,17,53,221,9
182.139.39.150,17,58288,754,5
198.244.168.18,17,62533,1370,5
101.13.6.86,6,443,1160,8
177.125.29.62,6,14296,404,5
159.89.162.48,17,49454,361,5
182.95.182.42,17,53,289,9
185.255.212.178,17,47899,1473,5
20.123.146.93,17,31347,577,5
200.155.66.2,17,53,432,9
142.44.228.80,6,443,114,8
198.244.183.181,6,443,769,8
142.44.228.46,17,53,973,9
15.235.98.236,6,443,260,8
188.255.252.251,6,53225,1314,5
218.149.228.170,6,80,1235,8
103.174.34.49,17,53,423,9
182.95.176.206,6,80,1491,8
172.235.235.248,6,51112,866,5
185.15.171.17,6,80,1467,8
129.121.79.67,17,7236,1091,5
196.189.59.226,17,53,817,9
120.48.109.159,17,53,1168,9
221.120.38.155,6,80,1149,8
103.166.157.244,6,80,71,8
183.108.233.190,6,23775,887,5
206.189.37.118,6,80,388,8
103.166.58.251,6,443,454,8
112.219.104.42,17,58111,1318,5
187.0.238.44,6,80,978,8
121.224.78.164,17,53,269,9
194.5.82.136,17,34037,1260,5
14.103.112.228,17,7078,462,5
104.152.52.202,6,53043,814,5
15.235.27.38,6,443,417,8
212.30.33.239,17,21584,854,5
17.22.253.129,17,14807,674,5
142.44.225.41,17,53,1467,9
193.181.35.126,6,80,1244,8
168.232.60.210,6,36700,963,5
172.70.240.139,6,443,1397,8
211.174.151.119,17,53,1424,9
152.0.216.209,6,443,223,8
185.77.51.201,17,53,97,9
149.34.211.139,17,53,275,9
112.164.239.83,17,53,871,9
197.221.237.210,6,443,93,8
103.117.56.120,6,46964,893,5
220.124.196.108,17,34812,645,5
104.222.171.84,17,53,229,9
176.4.36.196,6,443,554,8
142.44.233.197,17,47381,519,5
110.25.109.60,6,80,258,8
103.30.81.22,6,46222,264,5
103.18.166.9,17,53,832,9
148.113.130.200,17,53,358,9
141.148.151.4,17,53,715,9
103.13.206.100,17,53,69,9
124.166.90.238,17,53,838,9
148.113.128.152,6,80,1241,8
120.237.186.138,17,53,277,9
198.244.168.114,6,443,1143,8
118.114.13.151,17,53,847,9
206.189.156.184,17,49505,1415,5
142.44.228.236,6,80,861,8
195.8.50.83,6,80,1274,8
15.235.27.164,6,443,969,8
179.60.66.221,17,23011,472,5
130.185.96.113,6,48148,841,5
220.180.107.193,6,19207,212,5
128.185.231.6,6,443,1347,8
165.232.137.75,17,19891,718,5
213.215.209.101,17,15497,366,5
103.158.40.65,6,443,178,8
165.245.169.67,6,18968,377,5
180.76.245.131,6,38526,463,5
183.171.9.22,17,53,584,9
140.246.137.102,6,443,202,8
111.61.87.152,6,443,415,8
148.113.128.60,17,53,563,9
116.126.169.46,6,42881,126,5
161.178.139.119,17,53,257,9
119.160.166.237,17,16358,519,5
207.46.13.153,6,33766,229,5
103.39.213.200,17,53,712,9
176.103.7.159,17,53,199,9
2.208.68.141,6,443,1195,8
186.96.196.98,6,80,1249,8
180.111.0.83,6,80,432,8
110.25.112.143,6,443,1402,8
198.244.240.107,6,80,1265,8
173.239.218.66,17,53,966,9
102.165.48.81,17,8901,387,5
185.43.10.11,17,11919,748,5
198.244.183.227,6,50781,180,5
116.52.9.162,17,47715,342,5
187.85.187.100,17,40354,193,5
178.178.194.192,6,20379,552,5
194.195.93.49,6,80,1473,8
124.226.216.189,6,443,408,8
188.227.220.178,17,53,877,9
138.204.127.54,6,16733,1213,5
198.244.242.194,6,443,640,8
15.235.98.160,17,53,1454,9
20.123.146.92,6,443,868,8
198.244.168.71,17,53,1284,9
195.64.244.58,17,53,1215,9
188.235.18.134,17,2279,455,5
15.235.98.103,6,35282,905,5
167.94.146.53,17,19864,1203,5
148.113.130.15,17,55385,326,5
113.0.152.164,6,443,105,8
152.32.130.144,17,50434,621,5
192.142.3.52,17,22951,1261,5
148.113.128.96,6,8751,1204,5
195.43.66.158,6,31604,1063,5
218.149.228.134,6,80,1322,8
172.236.228.208,6,443,655,8
103.174.10.52,17,53,1478,9
198.244.183.87,6,443,1480,8
168.100.149.234,6,443,1056,8
14.103.112.35,17,1671,124,5
198.244.183.17,6,24390,871,5
142.44.225.54,17,35755,875,5
177.36.214.46,17,32924,490,5
15.235.27.216,17,53,633,9
173.239.218.23,17,53,74,9
152.32.170.55,17,53,870,9
150.242.149.159,17,51322,662,5
202.8.40.23,17,53,367,9
102.0.2.168,6,443,1176,8
198.244.240.95,6,80,1122,8
14.154.195.150,6,443,379,8
112.6.127.244,17,9724,1156,5
148.113.128.243,17,53,506,9
213.234.5.66,6,8689,887,5
216.24.210.149,6,80,1308,8
202.62.74.250,17,53,967,9
148.113.128.201,17,53,945,9
198.244.168.162,17,63096,1208,5
198.244.183.238,6,80,266,8
191.53.113.159,17,53,1026,9
102.88.137.145,6,443,370,8
114.219.157.97,17,37296,201,5
158.158.120.135,6,80,1062,8
142.44.233.115,17,11295,1312,5
185.15.171.172,6,15455,87,5
148.113.128.8,6,51019,796,5
164.52.204.250,6,443,341,8
179.61.10.203,17,53,1402,9
198.244.168.109,17,53,1292,9
202.125.94.71,17,20047,125,5
199.45.155.64,6,80,1332,8
175.141.178.6,17,20984,996,5
186.215.245.175,17,53,1066,9
2003:d8:3704:b900:1d81:46d:9c95:477a,6,443,1403,8
171.234.13.176,17,3444,628,5
177.126.130.163,6,443,918,8
193.105.126.3,17,40552,698,5
15.235.98.183,17,26541,752,5
164.90.208.56,17,16294,1312,5
148.66.132.204,17,53,128,9
143.255.105.79,6,17461,107,5
119.123.174.59,17,53,886,9
14.20.86.55,6,35029,105,5
167.114.139.188,17,47276,1445,5
118.44.127.108,17,21587,943,5
2.57.122.196,17,3101,1034,5
14.103.118.61,6,59865,1466,5
14.175.78.239,17,53575,203,5
142.44.228.195,17,38784,1268,5
198.244.168.87,6,443,1100,8
150.5.129.10,17,53,904,9
198.244.242.26,6,80,207,8
152.67.199.155,6,80,1165,8
115.85.80.12,17,53,1202,9
14.29.214.161,17,53,290,9
159.146.104.195,6,443,1041,8
142.44.233.76,6,443,200,8
178.16.54.77,6,39483,304,5
139.84.232.156,6,50709,1215,5
161.248.30.138,17,11811,592,5
102.37.19.146,6,443,892,8
211.20.26.201,6,443,662,8
120.243.121.22,6,23809,1451,5
15.235.98.55,17,13692,1016,5
103.76.120.106,6,80,633,8
105.247.69.196,6,443,916,8
202.108.14.226,6,80,721,8
157.245.111.209,17,64655,1075,5
210.68.105.68,6,443,316,8
198.244.183.241,17,55720,587,5
116.171.162.64,17,61445,259,5
102.129.63.29,17,1172,73,5
154.127.34.194,6,18832,138,5
197.156.67.84,17,53,156,9
198.244.168.214,6,80,315,8
190.123.4.9,6,21494,146,5
173.239.218.44,17,40821,1059,5
14.103.118.107,6,443,1137,8
104.168.92.214,6,80,1214,8
149.54.15.126,17,21045,379,5
198.244.168.198,17,49693,611,5
117.89.254.46,17,47632,1058,5
109.206.103.91,6,25589,299,5
183.99.89.74,17,54268,905,5
198.244.183.31,17,58501,722,5
111.4.65.37,17,53,814,9
104.28.203.60,17,47046,1430,5
124.152.76.41,6,32764,201,5
123.190.161.241,6,22166,448,5
204.168.150.11,6,443,1272,8
212.30.33.230,6,46453,1078,5
112.31.93.229,17,53,727,9
148.113.130.23,6,1156,1364,5
118.219.239.123,6,443,523,8
202.8.43.8,6,80,387,8
185.247.137.157,17,53,184,9
142.44.233.249,6,80,475,8
198.244.242.208,6,443,876,8
212.30.33.182,17,53,366,9
192.141.16.194,17,1063,960,5
190.5.21.119,6,58783,981,5
159.223.94.24,17,53,944,9
187.107.88.97,6,22375,82,5
163.7.3.26,17,50901,669,5
106.58.173.254,6,31073,386,5
115.230.187.234,6,443,495,8
142.44.225.14,6,443,897,8
142.44.225.251,17,53,407,9
15.235.96.202,17,53,776,9
112.161.26.125,17,53,211,9
125.19.218.2,17,16237,1240,5
148.113.128.186,6,80,696,8
137.27.32.70,17,53,1052,9
201.249.192.30,6,80,174,8
111.61.117.119,17,53,1021,9
125.19.182.194,6,3960,1460,5
1.94.55.63,6,443,107,8
185.19.118.26,17,8069,719,5
203.3.119.121,17,53,442,9
197.219.210.94,17,16592,591,5
157.20.182.69,6,58095,1029,5
103.187.78.189,6,80,340,8
144.24.14.116,6,45065,177,5
154.84.248.35,17,53,955,9
152.52.246.178,17,19799,1407,5
193.121.51.31,6,80,1364,8
111.228.24.62,6,80,1348,8
145.236.73.68,6,443,907,8
15.235.96.201,17,53,522,9
140.228.24.136,6,33829,953,5
212.28.207.194,6,443,1427,8
118.127.40.41,6,443,202,8
20.80.7.225,6,35056,129,5
142.44.233.215,17,53,446,9
123.185.171.8,6,80,972,8
15.235.96.245,17,53,744,9
122.185.146.18,17,53,289,9
221.120.42.196,17,53,966,9
106.3.140.29,6,23816,1427,5
129.226.157.18,17,1574,809,5
165.154.206.250,6,443,828,8
155.35.46.17,6,443,1152,8
190.106.32.115,17,18517,656,5
